show processes 
CPU utilization for five seconds: 2%/100%; one minute: 3%; five minutes: 4%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
   1 Cwe 63C86F44            8         46     173 4036/6000   0 Chunk Manager   
   2 Csp 60635AC4        13460       2019    6666 2404/3000   0 Load Meter      
   3 ME  619C0E58            0          3       022944/24000  0 Exec            
   4 Mwe 63D52488            4          1    400023316/24000  0 EDDRI_MAIN      
   5 Mwe 63CEA218            4          1    4000 5756/6000   0 RO Notify Timers
   6 Lst 64064460        32140       2500   12856 5200/6000   0 Check heaps     
   7 Cwe 63CA1B48           44        171     257 5232/6000   0 Pool Manager    
   8 Mwe 63CA1AB8            0          1       0 5656/6000   0 DiscardQ Backgro
   9 Mst 619AA5F0            4          2    2000 5268/6000   0 Timers          
  10 Mwe 61A0DB40            8        222      36 2716/3000   0 WATCH_AFS       
  11 Mwe 6002E574            0          2       0 8272/9000   0 ATM AutoVC Perio
  12 Mwe 6002DEC4            0          2       0 5264/6000   0 ATM VC Auto Crea
  13 Msi 60171960         1336      10081     132 3752/6000   0 EnvMon          
  14 Mwe 60183BF8            4          1    4000 8632/9000   0 OIR Handler     
  15 Mwe 6020EA34            0          1       023556/24000  0 Crash writer    
  16 Mwe 6020F260            0          1       0 5168/6000   0 Exception contro
  17 Mwe 606E9290          164       2018      81 5664/6000   0 IPC Event Notifi
  18 Mwe 606F9B24            0        169       0 5728/6000   0 IPC Dynamic Cach
  19 Mwe 60705AE8            0          1       0 5664/6000   0 IPC Session Serv
  20 Mwe 606FA2B0            0          1       0 5660/6000   0 IPC Zone Manager
  21 Mwe 606F9BBC           80       9858       8 5692/6000   0 IPC Periodic Tim
  22 Mwe 606F99AC           52       9858       5 5628/6000   0 IPC Deferred Por
  23 Mwe 606F9C7C            0          1       0 5676/6000   0 IPC Process leve
  24 Mwe 606F9F18            0          1       0 5316/6000   0 IPC Seat Manager
  25 Mwe 606DEFE4            0        578       0 5680/6000   0 IPC Check Queue 
  26 Mwe 606FA108            0          1       0 5656/6000   0 IPC Seat RX Cont
  27 Mwe 606FA1D0            0          1       0 5656/6000   0 IPC Seat TX Cont
  28 Mwe 606FA4FC            0       1012       0 5704/6000   0 IPC Keep Alive M
  29 Hsi 606E4F30            4       2020       1 5736/6000   0 IPC Loadometer  
  30 Mwe 60EA6640          588        152    3868 4300/6000   0 ARP Input       
  31 Mwe 60EA2890          128      10535      12 4340/6000   0 ARP Background  
  32 Mwe 60EEA2D8            0          2       0 5264/6000   0 ATM Idle Timer  
  33 Mwe 60EDC310            0          1       0 5644/6000   0 ATM ASYNC PROC  
  34 Lwe 618477A8            0          1       0 5652/6000   0 CEF MIB API     
  35 Lwe 6197CB04            0          1       0 5776/6000   0 AAA_SERVER_DEADT
  36 Mwe 619E0B74            0          1       011612/12000  0 Policy Manager  
  37 Mwe 61B686E0            4          2    2000 5252/6000   0 DDR Timers      
  38 Lwe 61CE3E6C           12          4    3000 5036/6000   0 Entity MIB API  
  39 Mst 631659EC           16          3    5333 3972/6000   0 PrstVbl         
  40 Mwe 63975720            0          2       0 5260/6000   0 Serial Backgroun
  41 Mwe 63CF1330            0          1       0 2644/3000   0 RMI RM Notify Wa
  42 Mwe 6017EED0            0          2       0 5284/6000   0 SMART           
  43 Mwe 6014AB20            0          1       011644/12000  0 RFS server proce
  44 Msp 61A717D4          136      10091      13 5308/6000   0 GraphIt         
  45 Mwe 61B8F2A4            0          2       011276/12000  0 Dialer event    
  46 Mwe 6397CE68            0          1       0 5664/6000   0 SERIAL A'detect 
  47 Mwe 641E32BC            0          2       011296/12000  0 XML Proxy Client
  48 Cwe 63CB5504            0          1       0 5680/6000   0 Critical Bkgnd  
  49 Mwe 6023898C          180       4466      4010356/12000  0 Net Background  
  50 Mwe 60238B8C           24          3    800011264/12000  0 IDB Work        
  51 Lwe 61AA1624           12         19     63110468/12000  0 Logger          
  52 Mwe 619CE728         1104      10072     109 4792/6000   0 TTY Background  
  53 Mwe 64310764          156         12   13000 3588/6000   0 RF Slave Main Th
  54 Mwe 639FBC00            8          2    4000 5064/6000   0 IF-MGR control p
  55 Mwe 63A05C34           12         15     800 5652/6000   0 IF-MGR event pro
  56 Mwe 600807FC            0          1       0 2648/3000   0 Inode Table Dest
  57 Mwe 60DDADA4            0          2       0 5596/6000   0 cpf_msg_holdq_pr
  58 Mwe 60DDA9F8            0          1       0 5636/6000   0 cpf_msg_rcvq_pro
  59 Mwe 60DDB420            0          1       0 5620/6000   0 cpf_process_tpQ 
  60 Mwe 60DFF7F4            0          1       011656/12000  0 Crypto PKI-HA   
  61 Mwe 60E0CC64            4          1    4000 5636/6000   0 IKE HA Mgr      
  62 Mwe 60E0EF00            0          1       0 5640/6000   0 IPSEC HA Mgr    
  63 Mwe 64310764           44         12    3666 3436/6000   0 RF Master Main T
  64 Mwe 64310764            4          7     571 4584/6000   0 RF Master Status
  65 Hwe 6024A124           36        260     138 5540/6000   0 Net Input       
  66 Msp 6024425C        18100       2020    8960 5284/6000   0 Compute load avg
