show sockets 
   PID      TCP      UDP      SCTP
    53        0        0         0
    63        0        0         0
    64        0        0         0
    81        0        0         0
    82        0        0         0
   130        0        0         0
   144        0        0         0
   147        0        0         0
   148        0        0         0
   164        0        0         0
   173        0        0         0
   177        0        0         0
   198        0        0         0
   208        0        0         0
   214        0        0         0
   219        0        0         0
   221        0        0         0
   242        0        0         0
   282        0        0         0
   284        0        0         0
   285        0        0         0
   286        0        0         0
   287        0        0         0
   288        0        0         0
   293        0        0         0
   294        0        0         0
   298        0        0         0
   300        0        0         0
   301        0        0         0
   302        0        0         0
   303        0        0         0
   304        0        0         0
   305        0        0         0
   306        0        0         0
   307        0        0         0
   308        0        0         0
   309        0        0         0
   310        0        0         0
   311        0        0         0
   312        0        0         0
   313        0        0         0
   314        0        0         0
   316        0        0         0
   317        0        0         0
   322        0        0         0
R2#
